question,sentence,label,idx
What was the first British empire based on?,"The First British Empire was based on mercantilism, and involved colonies and holdings primarily in North America, the Caribbean, and India.",0,3916
In 2004 the Orange revolution occurred in what country?,"It has been used in many nonviolent resistance movements in India (Gandhi's campaigns for independence from the British Empire), in Czechoslovakia's Velvet Revolution and in East Germany to oust their communist governments, In South Africa in the fight against apartheid, in the American Civil Rights Movement, in the Singing Revolution to bring independence to the Baltic countries from the Soviet Union, recently with the 2003 Rose Revolution in Georgia and the 2004 Orange Revolution in Ukraine, among other various movements worldwide.",0,3714
How many refugees emigrated to the Dutch Republic?,"After the revocation of the Edict of Nantes, the Dutch Republic received the largest group of Huguenot refugees, an estimated total of 75,000 to 100,000 people.",0,2612
What nationality was Konstantin Mereschkowski?,"Mitochondria are thought to have come from a similar event, where an aerobic prokaryote was engulfed.",1,898
Where does Warsaw rank in terms of population in the EU?,Warsaw (Polish: Warszawa [varˈʂava] ( listen); see also other names) is the capital and largest city of Poland.,1,504
When did income inequality begin to increase in the US?,"However, recent data shows that the level of income inequality began to rise after the 1970s.",0,4188
How much does Victoria produce in Australian pears?,It is also a leader in stone fruit production.,1,1376
How do socialists think the means of production should be owned?,"Socialists attribute the vast disparities in wealth to the private ownership of the means of production by a class of owners, creating a situation where a small portion of the population lives off unearned property income by virtue of ownership titles in capital equipment, financial assets and corporate stock.",1,2318
Who did Peyton Manning complete an 18 yard pass to on the opening drive?,Denver took the opening kickoff and started out strong with Peyton Manning completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Andre Caldwell.,0,5178
What is the English translation of tawhid?,"Maududi also believed that Muslim society could not be Islamic without Sharia, and Islam required the establishment of an Islamic state.",1,3951
Ediacaran eoandromeda can be regarded to represent what?,They also appear to have had internal organ-like structures unlike anything found in living ctenophores.,1,2738
When is Sir Pindar's house dated?,European examples include a dormer window dated 1523–35 from the chateau of Montal.,1,3013
Who started the IPCC Trust Fund?,"Annual cash contributions to the Trust Fund are made by the WMO, by UNEP, and by IPCC Members; the scale of payments is determined by the IPCC Panel, which is also responsible for considering and adopting by consensus the annual budget.",1,4952
What was the average cost of a 30-second commercial?,It was the third-most watched U.S. broadcast ever.,1,397
What responsibilities were pharmacy technicians formerly limited to?,"Where it was once the case that pharmacists stayed within the dispensary compounding/dispensing medications, there has been an increasing trend towards the use of trained pharmacy technicians while the pharmacist spends more time communicating with patients.",0,290
Who designed the bronze doors used as the main entrance to the museum?,"The last work by Fowke was the design for the range of buildings on the north and west sides of the garden, this includes the refreshment rooms, reinstated as the Museum Café in 2006, with the silver gallery above, (at the time the ceramics gallery), the top floor has a splendid lecture theatre although this is seldom open to the general public.",1,3149
Other theories of the word's origin can be generally classed as what?,"Some disagree with such double or triple non-French linguistic origins, arguing that for the word to have spread into common use in France, it must have originated in the French language.",0,4530
What financial issue is notoriously prevalent in the construction field?,"Cash flow problems exist when the present amount of funding cannot cover the current costs for labour and materials, and because they are a matter of having sufficient funds at a specific time, can arise even when the overall total is enough.",1,921
What is malum in se considerations?,"Other legal requirements come from malum prohibitum considerations, or things that are a matter of custom or expectation, such as isolating businesses to a business district and residences to a residential district.",1,4804
